frame,shape,method,note,N,sumA,background,image_flux_above_bg,flux_ratio,missed,piled,missed_interior,piled_interior,z_min,z_max,z_robust_sd,seconds
FOV1,39x39,boxsolve,gain=4.230,74,64423.245722478554,3.073286052009456,57146.335697399525,1.1273381737651846,1,1,0,0,-5.423724561492262,5.5187605918768625,1.13790584630766,2.462620973587036
FOV1,39x39,daophot a=0.01,flat robust_background (pessimistic),40,31351.38395690918,6.382978723404254,52112.29314420804,0.6016120586010653,31,5,16,3,-8.792570478562684,92.43584859209078,13.239185783894495,0.0638420581817627
FOV1,39x39,daophot a=0.01,best-fit scalar bg (optimistic),40,31351.38395690918,17.149238888958678,35736.81143239976,0.8772854292334918,22,21,10,11,-16.7325143332933,46.81607639539744,10.78010635052471,0.0638420581817627
FOV1,39x39,daophot a=0.05,flat robust_background (pessimistic),69,35830.20132446289,4.0189125295508275,55708.037825059095,0.643178304663702,36,1,22,0,-5.93425966945192,82.5174032475259,7.015791598025864,0.19500017166137695
FOV1,39x39,daophot a=0.05,best-fit scalar bg (optimistic),69,35830.20132446289,11.083661591367731,44962.554502035586,0.796889805779179,31,15,17,10,-12.844204938340194,52.528721010215044,7.359319570409973,0.19500017166137695
FOV1,39x39,daophot a=0.1,flat robust_background (pessimistic),74,36038.630851745605,4.0189125295508275,55708.037825059095,0.6469197670346662,37,1,23,0,-5.934273793726543,82.50728852393416,6.6801654391683005,0.23374509811401367
FOV1,39x39,daophot a=0.1,best-fit scalar bg (optimistic),74,36038.630851745605,10.922945527472674,45207.00363521997,0.7971913189059173,33,14,19,9,-12.725707923213722,52.8786532347898,7.252274193533523,0.23374509811401367
FOV2,62x62,boxsolve,gain=4.230,130,121566.80499516256,2.836879432624113,109940.4255319149,1.1057516323681376,1,2,0,0,-5.4434080300603735,13.279796189125504,1.0025631229430738,3.764673948287964
FOV2,62x62,daophot a=0.01,flat robust_background (pessimistic),97,83376.73246765137,3.3096926713947985,108122.93144208036,0.7711290413201096,58,0,38,0,-4.551425915065227,65.79325741533859,7.27290084879753,0.2213118076324463
FOV2,62x62,daophot a=0.01,best-fit scalar bg (optimistic),97,83376.73246765137,6.4033210646552945,96231.02389838702,0.8664225848380367,47,26,30,20,-8.576528604548932,59.40514952507775,7.170650753367136,0.2213118076324463
FOV2,62x62,daophot a=0.05,flat robust_background (pessimistic),131,87012.17465209961,3.073286052009456,109031.67848699763,0.7980448972220132,66,0,44,0,-4.170426933969562,66.29592712208144,4.211106187776065,0.5213420391082764
FOV2,62x62,daophot a=0.05,best-fit scalar bg (optimistic),131,87012.17465209961,4.391188569783866,103965.6612086728,0.8369318642378919,57,13,35,8,-6.161547463227013,63.40372019153603,4.431990620775234,0.5213420391082764
FOV2,62x62,daophot a=0.1,flat robust_background (pessimistic),148,87057.37368011475,2.836879432624113,109940.4255319149,0.7918595299127947,69,0,47,0,-3.8076120662648445,66.90096853411438,3.962687482544334,0.7275619506835938
FOV2,62x62,daophot a=0.1,best-fit scalar bg (optimistic),148,87057.37368011475,4.269533714321243,104433.30247307112,0.833616974839641,55,11,35,6,-5.991503760373811,63.718348491118604,4.2653637587155355,0.7275619506835938
dense184,154x154,boxsolve,gain=2.236 (estimated),596,313741.6103614118,25.04915687587548,347709.5831258914,0.9023093569664971,97,10,79,9,-5.690238194465693,18.35072261662239,2.5077408585917,37.78412175178528
dense184,154x154,boxsolve,gain=4.230,428,150000.48853131043,13.711583924349881,172555.31914893613,0.8692892764542474,75,0,65,0,-4.623567707895402,12.234233296591997,2.2959666198331297,23.8669171333313
dense184,154x154,daophot a=0.01,flat robust_background (pessimistic),211,118626.08721923828,14.420803782505908,155735.4609929078,0.7617153245826299,119,5,105,4,-5.325741453351449,20.81095598659961,3.6011013254646516,0.6501009464263916
dense184,154x154,daophot a=0.01,best-fit scalar bg (optimistic),211,118626.08721923828,15.756981182587673,124046.67777256867,0.9563020094478574,91,51,81,41,-6.568003312459969,18.590989821909357,3.5395052513331207,0.6501009464263916
dense184,154x154,daophot a=0.05,flat robust_background (pessimistic),281,125565.83318328857,14.184397163120567,161342.08037825057,0.7782584238960591,122,1,106,1,-5.095244420426249,16.13342379990024,3.2214862681514997,1.0316238403320312
dense184,154x154,daophot a=0.05,best-fit scalar bg (optimistic),281,125565.83318328857,15.407899770827184,132325.49253388043,0.9489164240302289,78,35,67,27,-6.252808006919085,14.241486118296892,3.1780667194730166,1.0316238403320312
dense184,154x154,daophot a=0.1,flat robust_background (pessimistic),343,129320.1555480957,13.947990543735223,166948.69976359338,0.7746101391099102,116,0,99,0,-4.861230109772112,13.387087028408951,2.98748332716448,1.7396581172943115
dense184,154x154,daophot a=0.1,best-fit scalar bg (optimistic),343,129320.1555480957,15.212593233892271,136957.38236382883,0.9442364720768045,72,24,62,20,-6.073683307883583,11.43267576902239,2.9561917330778607,1.7396581172943115
